,,277,47,85,250,130,當季精選,Specialty,青仁黑豆茶, Black Bean,-,-,,,,,,,
'圓石' September, 2014,480,80,150,,,肯亞,Kenya,Kirinyaga產區 奇異處理廠,Kirinyaga Kii ,水洗,Washed,AA,Loaded with berry notes of sweet blackcurrant, raspberry tart and juicy nectarine with a long sweet gorgeous finish.,,,,,
'圓石' September, 2014,475,80,150,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,狄馬哲德/絕計,Drima Zede,日曬,Natural,Levelup Up,香水般集中的藍莓、花果甜香，果醬 、 柑橘，水蜜桃、可可、水果成熟所散發的香甜味。,,,,,
豐潤 September, 2014,441,74,140,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,梅吉雅 孔加,Mergiya Konga,日曬,Natural,   G1,水蜜桃、莓果香氣，甜度高，蘋果酸、葡萄甜。,,,,,
豐潤 September, 2014,311,52,105,,,哥倫比亞,Colombia , Kogui 雪峰, Kogui Snow Cap,水洗,Washed,Spuermo,熟甜、花香、蜜甜、太妃糖、薄荷、柑橘香、糖蜜、麥茶、烏龍茶、葡萄柚酸、烏梅,,,,,
豐潤 September, 2014,211,36,75,,,巴西,Brazil,喜拉朵,,日曬,Natural,SC 18,,,,,,
'圓石' October, 2014,445,75,145,,,衣索比亞 西達摩,Ethiopia Sidamo,砌達高爾/莓果風華,Kita Gora  ,日曬 ,Natural,Levelup Up,清新檸檬皮，柚子，萊姆香氣;  白葡萄酸感、養樂多藍莓香氣！尾段乾淨柔順茶感、檸檬水+櫻桃香,,,,,
'圓石' October, 2014,387,65,125,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  蔻銳,Kochere Kore,日曬,Natural,   G1,乾香牛奶糖花香，濕香綠茶香。入口白葡萄酸感，前段有柑橘香，甜蜜香瓜牛奶糖香氣，中段花香氣息還帶有點荔枝水蜜桃的香氣。檸檬，鳳梨香氣;  主調藍莓花香。,,,,,
'圓石' October, 2014,362,61,120,,,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  丹波處理廠,Kochere Teklu Dembel,水洗,Washed,G1,Dried flowers and fresh jasmine; a sweet tropical note of mango and passion fruit; sweet citrus notes like orange and lemonade; apricot, white peach, and Rainier cherry.,,,,,
'圓石' October, 2014,197,33,70,,,衣索比亞 ,Ethiopia ,西達摩 產地直送,Sidamo,日曬 ,Natural, G4 TOP,葡萄柚香氣，芭樂的香澀感，但尾韻有帶有櫻桃藍莓香氣、杏仁、花香,,,,,
'圓石' October, 2014,262,44,90,,,印尼 蘇門答臘,Indonesia Sumatra ,綠寶石曼特寧,Mandheling GAYO ,半水洗,Giling Basah,G1,,,,,,
'圓石' October, 2014,475,80,150,,,尼加拉瓜 ,Nicaragua,天意莊園 米賽亞 黃卡杜艾,Finca La Divina  Providencia Misael Sauceda,日曬 ,Natural,,,,,,,,260,44,80,,,薩爾瓦多, Salvador,布宜諾斯 艾莉絲莊園,Buenos Aires ,水洗,Washed,,黑麥、奶油堅果、蔗糖甜  平順溫潤口感。,,,,,
